Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
dataFile,"The data file provides the name of the raw file generated by the instrument. The data files can be instrument raw files but also converted peak lists such as mzML, MGF or result files like mzIdentML.","Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,Proteomics Sample Metadata,
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).","MassBank of North America (MoNA),NIST17,Metlin,HMDB,Other,Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,http://purl.obolibrary.org/obo/MS_1001013,
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).","OtherUnknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,http://purl.obolibrary.org/obo/MS_1001012,
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs who generate their own search method",,,,False,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
digestionMethod,"The type of digestion - in-solution, in-gel, etc. (ex. ""in-gel digestion"")","in-solution,in-gel,Other,Unknown,Not collected,Not applicable,",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
fractionIdentifier,"Identifier string that describes the sample fraction. This identifier should contain the fraction number(s) or similar information. (It MUST start from 1; if the experiment is not fractionated, 1 MUST be used for each MSRun (assay).",,,,True,proteomics,mass spec proteomics,"Sage Bionetworks,The Proteomics Sample Metadata Project,MS Ontology",
fragmentMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",,,,True,proteomics,mass spec proteomics,Proteomics Sample Metadata,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,proteomics,mass spec proteomics,Sage Bionetworks,
modificationParameters,Modification parameters for the search engine run. [ PSI: PI http://www.w3.org/2002/07/owl#Axiom ],"Possible values are listed under modification parameters,Other,Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1001055,
msAnalyteType,the type of biospecimen subjected to analysis,"protein,metabolite,lipid,Other,Unknown,Not collected,Not applicable,Not specified",,,False,proteomics,"mass spec proteomics,msTarget = Targeted",http://purl.obolibrary.org/obo/NCIT_C156434,
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOther,Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOther,Unknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
msAssayTechnique,Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA),"DDA-MS,DIA-MS,FIA-MSMS,HPLC-MSMS,LC-MS,LC-MSMS,MDMS-SL,MIB-MS,UPLC-MSMS,UPLC-ESI-QTOF-MS,LC-SRMOther,Unknown,Not collected,Not applicable,",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
msInstrumentModel,The model of the mass spectrometer  used,"Possible values are listed under the instrument model term.Other,Unknown,Not collected,Not applicable",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG,Proposed minimum metadata relative to mass spectrometry  ",
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Targeted,UntargetedUnknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","OtherUnknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
precursorMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",,,,True,proteomics,mass spec proteomics,Proteomics Sample Metadata,
protoemicsAssayType,Type of peptide quantification used (ex. Label Free),"Label Free,TMT,ITRAQ,SILAC,Targeted Absolute Quantitation,Other,Unknown,Not collected,Not applicable",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG,https://www.ebi.ac.uk/ols/ontologies/pride/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPRIDE_0000514&viewMode=All&siblings=false",
samplePrepProtocol,An internet address that may provide more details of the protocol information (web link),,,,False,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,proteomics,mass spec proteomics,"Sage Bionetworks,ImmPort",
specifyDatabaseName,"If ""other"" list the name of the search database",,,,False,proteomics,"mass spec proteomics,databaseName = other",Sage Bionetworks,
specifyDatabaseSource,"If ""other"" list the name of the database source",,,,False,proteomics,"mass spec proteomics,databaseSource = other",Sage Bionetworks,
specifyDigestionMethod,"If ""other"" list the type of digestion",,,,False,proteomics,"mass spec proteomics,digestionMethod = other",Sage Bionetworks,
specifyMSAnalyteType,"If ""other"" list the type of analyte ",,,,False,proteomics,"mass spec proteomics,msAnalyteType = other",Sage Bionetworks,
specifyMSAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,,False,proteomics,"mass spec proteomics,msAnalyzerTypeMS1 = other",Sage Bionetworks,
specifyMSAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,,False,proteomics,"mass spec proteomics,msAnalyzerTypeMS2 = other",Sage Bionetworks,
specifyMSAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,,,False,proteomics,"mass spec proteomics,msAssayTechnique = other",Sage Bionetworks,
specifyMSInstrumentModel,"If ""other"" is selected list the name of the instrument model",,,,False,proteomics,"mass spec proteomics,msInstrumentModel = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,proteomics,"mass spec proteomics,measurementTechnique = other",Sage Bionetworks,
specifyOtherCleavageAgent,"If ""other"" is selected, list the enzyme name. ",,,,False,proteomics,"mass spec proteomics,cleavageAgents = other",Sage Bionetworks,
specifyOtherModificationParameters,"If ""other"" is selected, list the custom modification name. We recommend using an intuitive name",,,,False,proteomics,"mass spec proteomics,modificationParameters = other",Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,proteomics,"mass spec proteomics,platformLocation = other",Sage Bionetworks,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,proteomics,"mass spec proteomics,technologyPlatformVersion = other",Sage Bionetworks,
specifyProteomicsAssayType,"If ""other"" is selected list the name of the type of peptide quantification used",,,,False,proteomics,"mass spec proteomics,proteomicsAssayType = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,proteomics,"mass spec proteomics,sampleType = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,proteomics,"Biospecimen,mass spec proteomics",Sage Bionetworks,
spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),,,,True,proteomics,mass spec proteomics,"Sage Bionetworks,DSLWG",
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,proteomics,mass spec proteomics,http://purl.obolibrary.org/obo/NCIT_C45378,
Biospecimen human,,,"individualID,specimenID,specimenType,assay,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem",,,,,,
Biospecimen nonHuman,,,"individualID,specimenID,specimenIdSource,dataGenerationSite,specimenType,assay,specimenAge,parentSpecimenID,parentSpecimenType,laboratoryProcedure,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem",,,,,,
Individual Human,,,"individualID,cohort,studyCode,fieldCenterCode,visitCode,countryCode,consentGroupID,speciesGroup,sex,race,ethnicity,ethnicGroupCode,age,diagnosisStatus,diagnosis",,,,,,
Individual nonHuman,,,"individualID,cohort,studyCode,taxon,speciesGroup,speciesName,commonName,sex,lifeStage,speciesAge,captivityStatus,captivityDuration",,,,,,
Metabolomics Human,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,msTarget,msAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,msAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,msAssayTechnique,specifyMSAssayTechnique,msAnalyteType,specifyMSAnalyteType,msInstrumentModel,specifyMSInstrumentModel,sampleIntroduction,specifySampleIntroduction,extractionMethod,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,samplePrepProtocol,databaseName,specifyDatabaseName,databaseSource,specifyDatabaseSource,databaseWeblink,spectrometerFrequency,hasIonizationSource?,ionProperty,vacuumPressure,vacuumPressureUnit,specifyVacuumPressueUnits,lensVoltages ,lensVoltagesUnit ,specifyLensVoltageUnits,gasFlowTemperature,gasFlowTemperatureUnit,hasAssayControl,controlType,specifyControlType,experiementalBatchSize,experiementalBatchSizeUnit,specifyExperimentalBatchSizeUnits,batchSize,batchSizeUnit,specifyBatchSizeUnits,batchID,batchLabel,sampleBatchID,sampleBatchSize,sampleBatchSizeUnit,specifySampleBatchSizeUnits,acquisitionBatchID,acquisitionBatchSize,acquisitionBatchSizeUnit,specifyAcquisitionBatchSizeUnits,processingBatchID,processingBatchSize,processingBatchSizeUnit,specifyProcessingBatchSizeUnit,dataFile",,,,,,
Microbiome,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,extractionMethod,specifyExtractionMethod,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,specifyDNABatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads",,,,,,
NAseq,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads",,,,,,
Whole Genome Sequencing,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,libraryBatchID,sequencingBatchID,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads",,,,,,
bsSeq,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,dnaBatchID,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,specifyDNABatchSizeUnit,libraryBatchID,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,directionalBSseqLibrary,gDNAconc,lambdaDNAconc,pcrCycles,meanCoverage,conversionRatio,conversionRatioUnits,specifyConversionRatioUnit,enrichmentMethod,specifyEnrichmentMethod",,,,,,
cRNAseq,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,rnaBatchSize,rnaBatchSizeUnit,specifyRNABatchSizeUnit,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads",,,,,,
genotyping assay,,,"specimenID,sampleType,specifySampleType,useReagent?,reagentID(s),reagentName,reagentManufacturer,reagentCatalogNumber,reagentLotNumber,reagentWeblink,reagentContact,useTreatment?,treatmentID(s),treatmentName,treatmentAmountValue,treatmentAmountUnit,treatmentDurationValue,treatmentDurationUnit,treatmentTemperatureValue,treatmentTemperatureUnit,measurementTechnique,specifyMeasurementTechnique",,,,,,
other,,,"specimenID,sampleType,useReagent?,reagentID(s),reagentName,reagentManufacturer,reagentCatalogNumber,reagentLotNumber,reagentWeblink,reagentContact,useTreatment?,treatmentID(s),treatmentName,treatmentAmountValue,treatmentAmountUnit,treatmentDurationValue,treatmentDurationUnit,treatmentTemperatureValue,treatmentTemperatureUnit,measurementTechnique",,,,,,
proteomics,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,msTarget,msAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,msAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,msAssayTechnique,specifyMSAssayTechnique,msAnalyteType,specifyMSAnalyteType,protoemicsAssayType,specifyProteomicsAssayType,msInstrumentModel,specifyMSInstrumentModel,digestionMethod,specifyDigestionMethod,fractionIdentifier,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,samplePrepProtocol,databaseName,specifyDatabaseName,databaseSource,specifyDatabaseSource,databaseWeblink,spectrometerFrequency,modificationParameters,specifyOtherModificationParameters,cleavageAgents,specifyOtherCleavageAgent,fragmentMassTolerance,precursorMassTolerance,dataFile",,,,,,
acquisitionBatchSizeUnitOther,"If ""other"" list units of measure",,specifyAcquisitionBatchSizeUnits,,False,Metabolomics Human,mass spec metabolomics,,
batchSizeUnitOther,"If ""other"" list the unit of measure",,specifyBatchSizeUnits,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
controlTypeOther,"If ""other"" specify the control type",,specifyControlType,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
databaseNameOther,"If ""other"" list the name of the search database",,specifyDatabaseName,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
databaseSourceOther,"If ""other"" list the name of the database source",,specifyDatabaseSource,,False,Metabolomics Human,mass spec metablomics,Sage Bionetworks,
experimentalBatchSizeUnitOther,"If ""other"" list units of measure",,specifyExperimentalBatchSizeUnits,,False,Metabolomics Human,mass spec metabolomics,,
lensVoltageUnitsOther,"If ""other"" provide the unit of measure",,specifyLensVoltageUnits,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
msAnalyteTypeOther,"If ""other"" list the type of analyte ",,specifyMSAnalyteType,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
msAnalyzerTypeMS1Other,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,specifyMSAnalyzerTypeMS1,,False,Metabolomics Human,mass specmetabolomics,Sage Bionetworks,
msAnalyzerTypeMS2Other,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,specifyMSAnalyzerTypeMS2,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
msAssayTechniqueOther,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,specifyMSAssayTechnique,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
msInstrumentModelOther,"If ""other"" is selected list the name of the instrument model",,specifyMSInstrumentModel,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
mass spec metabolomicsmeasurementTechniqueOther,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,Metabolomics Human,,Sage Bionetworks,
platformLocationOther,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
technologyPlatformVersionOther,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
ProcessingBatchSizeUnitOther,"If ""other"" list units of measure",,specifyProcessingBatchSizeUnit,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
sampleBatchSizeUnitOther,"If ""other"" list the unit of measure",,specifySampleBatchSizeUnits,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
sampleIntdocutionOther,"If ""other"" list the name of the sample introduction",,specifySampleIntroduction,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
sampleTypeOther,"If ""other"" is selected list the type of sample",,specifySampleType,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
vaccumPressureUnitsOther,"If ""other"" provide the unit of measure",,specifyVacuumPressueUnits,,False,Metabolomics Human,mass spec metabolomics,Sage Bionetworks,
dnaBatchSizeUnitOther,"If ""other"" list unit of measure",,specifyDNABatchSizeUnit,,False,Microbiome,microbiome,Sage Bionetworks,
extractionMethodOther,"If ""other"" list the name of the extraction method",,specifyExtractionMethod,,False,Microbiome,microbiome,Sage Bionetworks,
libraryPrepOther,"If ""other"" list the name of the general strategy used to prepare the library",,specifyLibraryPrep,,False,Microbiome,microbiome,Sage Bionetworks,
libraryPreparationMethodOther,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,Microbiome,microbiome,Sage Bionetworks,
libraryVersionOther,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,Microbiome,microbiome,Sage Bionetworks,
measurementTechniqueOther,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,Microbiome,microbiome,Sage Bionetworks,
platformLocationOther,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,Microbiome,microbiome,Sage Bionetworks,
technologyPlatformVersionOther,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,Microbiome,microbiome,Sage Bionetworks,
readLengthUnitsOther,"If ""other"" provide the unit of measure",,specifyReadLengthUnits,,False,Microbiome,microbiome,Sage Bionetworks,
sampleTypeOther,"If ""other"" is selected list the type of sample",,specifySampleType,,False,Microbiome,microbiome,Sage Bionetworks,
sequencingBatchSizeUnitOther,"If ""other"" list unit of measure",,specifySequencingBatchSizeUnit,,False,Microbiome,microbiome,Sage Bionetworks,
libraryPreparationMethodOther,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,NAseq,RNAseq,Sage Bionetworks,
libraryVersionOther,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,NAseq,RNAseq,Sage Bionetworks,
measurementTechniqueOther,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,NAseq,RNAseq,Sage Bionetworks,
platformLocationOther,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,NAseq,RNAseq,Sage Bionetworks,
technologyPlatformVersionOther,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,NAseq,RNAseq,Sage Bionetworks,
repositoryNameOther,"If ""other"" list the name of the repository",,specifyRepositoryName,,False,NAseq,RNAseq,Sage Bionetworks,
sampleTypeOther,"If ""other"" is selected list the type of sample",,specifySampleType,,False,NAseq,RNAseq,Sage Bionetworks,
transcriptTypeOther,"If ""other"" list the transcript type",,specifyTranscriptType,,False,NAseq,RNAseq,Sage Bionetworks,
libraryPrepOther,"If ""other"" list the name of the general strategy used to prepare the library",,specifyLibraryPrep,,False,Whole Genome Sequencing,WGS,string,
libraryPreparationMethodOther,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,Whole Genome Sequencing,WGS,string,
libraryVersionOther,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,Whole Genome Sequencing,WGS,string,
measurementTechniqueOther,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,Whole Genome Sequencing,WGS,string,
platformLocationOther,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,Whole Genome Sequencing,WGS,string,
technologyPlatformVersionOther,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,Whole Genome Sequencing,WGS,string,
readLengthUnitsOther,"If ""other"" provide the unit of measure",,specifyReadLengthUnits,,False,Whole Genome Sequencing,WGS,string,
repositoryNameOther,"If ""other"" list the name of the repository",,specifyRepositoryName,,False,Whole Genome Sequencing,WGS,string,
sampleTypeOther,"If ""other"" is selected list the type of sample",,specifySampleType,,False,Whole Genome Sequencing,WGS,string,
transcriptTypeOther,"If ""other"" list the transcript type",,specifyTranscriptType,,False,Whole Genome Sequencing,WGS,string,
dnaBatchSizeUnitOther,"If ""other"" list unit of measure",,specifyDNABatchSizeUnit,,False,bsSeq,bsSeq,Sage Bionetworks,
libraryPrepOther,"If ""other"" list the name of the general strategy used to prepare the library",,specifyLibraryPrep,,False,bsSeq,bsSeq,Sage Bionetworks,
libraryPreparationMethodOther,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,bsSeq,bsSeq,Sage Bionetworks,
libraryPreparationMethodOther,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,bsSeq,bsSeq,Sage Bionetworks,
libraryVersionOther,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,bsSeq,bsSeq,Sage Bionetworks,
libraryVersionOther,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,bsSeq,bsSeq,Sage Bionetworks,
measurementTechniqueOther,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,bsSeq,bsSeq,Sage Bionetworks,
platformLocationOther,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,bsSeq,bsSeq,Sage Bionetworks,
technologyPlatformVersionOther,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,bsSeq,bsSeq,Sage Bionetworks,
readLengthUnitsOther,"If ""other"" provide the unit of measure",,specifyReadLengthUnits,,False,bsSeq,bsSeq,Sage Bionetworks,
bsSeqsampleTypeOther,"If ""other"" is selected list the type of sample",,specifySampleType,,False,bsSeq,,Sage Bionetworks,
sequencingBatchSizeUnitOther,"If ""other"" list unit of measure",,specifySequencingBatchSizeUnit,,False,bsSeq,bsSeq,Sage Bionetworks,
